Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"loginHelper.AccountSettings.organization("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:43,2021-07-27 08:19:48,5.231s,PASSED
"loginHelper.AccountSettings.language("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:48,2021-07-27 08:19:51,2.743s,PASSED
"loginHelper.selectFile.book("""")",Chrome 92.0.4515.107,,,2021-07-27 08:19:51,2021-07-27 08:19:53,2.589s,PASSED
"click(findTestObject(""Object Repository/tN Card/svg_translationNotes_resource_card_tn_card_menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:19:53,2021-07-27 08:19:56,2.234s,PASSED
delay(2),Chrome 92.0.4515.107,,,2021-07-27 08:19:56,2021-07-27 08:19:58,2.004s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_Reference_ID""), 1))",Chrome 92.0.4515.107,,,2021-07-27 08:19:58,2021-07-27 08:20:01,3.414s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_ID_Occurrence""), 1))",Chrome 92.0.4515.107,,,2021-07-27 08:20:01,2021-07-27 08:20:04,2.771s,PASSED
"click(findTestObject(""Object Repository/tN Card/input_Reference_ID""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:04,2021-07-27 08:20:04,0.495s,PASSED
"click(findTestObject(""Object Repository/tN Card/input_ID_Occurrence""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:04,2021-07-27 08:20:05,0.583s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_Reference_ID""), 1))",Chrome 92.0.4515.107,,,2021-07-27 08:20:05,2021-07-27 08:20:05,0.461s,PASSED
"ColumnList = getText(findTestObject(""Object Repository/tN Card/div_Show ColumnsList""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:05,2021-07-27 08:20:06,0.605s,PASSED
"println(""The columns in tN card are"" + ColumnList)",Chrome 92.0.4515.107,,,2021-07-27 08:20:06,2021-07-27 08:20:06,0.000s,PASSED
"click(findTestObject(""Object Repository/tN Card/svg_translationNotes Settings_settings_card_close""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:06,2021-07-27 08:20:06,0.391s,PASSED
"click(findTestObject(""Object Repository/tN Card/button_gatewayEdit_Hamburger menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:06,2021-07-27 08:20:07,0.506s,PASSED
"click(findTestObject(""Object Repository/tN Card/font_Account Settings""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:07,2021-07-27 08:20:07,0.496s,PASSED
"loginHelper.AccountSettings.organization(""test_org2"")",Chrome 92.0.4515.107,,,2021-07-27 08:20:07,2021-07-27 08:20:11,3.781s,PASSED
"click(findTestObject(""Object Repository/First/span_Save and Continue""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:11,2021-07-27 08:20:12,0.320s,PASSED
"click(findTestObject(""Object Repository/tN Card/svg_translationNotes_resource_card_tn_card_menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:12,2021-07-27 08:20:13,1.791s,PASSED
"ColumnList2 = getText(findTestObject(""Object Repository/tN Card/div_Show ColumnsList""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:13,2021-07-27 08:20:14,0.505s,PASSED
"println(""The columns in tN card are"" + ColumnList2)",Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:14,0.000s,PASSED
if (ColumnList == ColumnList2),Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:14,0.000s,PASSED
else,Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:14,0.000s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_Occurrence Note""), 2, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:14,0.267s,PASSED
"click(findTestObject(""Object Repository/tN Card/input_Occurrence Note""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:14,0.294s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_Occurrence Note""), 2, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:14,2021-07-27 08:20:15,0.463s,PASSED
"if (verifyElementChecked(findTestObject(""Object Repository/tN Card/input_Original Quote""), 2, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:15,2021-07-27 08:20:16,1.193s,PASSED
"click(findTestObject(""Object Repository/tN Card/input_Original Quote""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:16,2021-07-27 08:20:16,0.299s,PASSED
"click(findTestObject(""Object Repository/tN Card/input_GL Quote""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:16,2021-07-27 08:20:17,0.502s,PASSED
delay(2),Chrome 92.0.4515.107,,,2021-07-27 08:20:17,2021-07-27 08:20:19,2.003s,PASSED
"click(findTestObject(""Object Repository/tN Card/svg_translationNotes Settings_settings_card_close""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:19,2021-07-27 08:20:19,0.403s,PASSED
delay(2),Chrome 92.0.4515.107,,,2021-07-27 08:20:19,2021-07-27 08:20:21,2.004s,PASSED
"click(findTestObject(""Object Repository/tN Card/button_gatewayEdit_Hamburger menu""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:21,2021-07-27 08:20:22,0.415s,PASSED
"click(findTestObject(""Object Repository/tN Card/font_Account Settings""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:22,2021-07-27 08:20:22,0.533s,PASSED
"loginHelper.AccountSettings.organization(""test_org"")",Chrome 92.0.4515.107,,,2021-07-27 08:20:22,2021-07-27 08:20:25,3.241s,PASSED
"click(findTestObject(""Object Repository/First/span_Save and Continue""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:25,2021-07-27 08:20:26,0.314s,PASSED
"click(findTestObject(""Object Repository/tN Card/div_tN Card""))",Chrome 92.0.4515.107,,,2021-07-27 08:20:26,2021-07-27 08:20:27,0.755s,PASSED
"scrollToElement(findTestObject(""Object Repository/tN Card/legend_Note""), 2)",Chrome 92.0.4515.107,,,2021-07-27 08:20:27,2021-07-27 08:20:27,0.682s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/tN Card/legend_GLQuote""), 1, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:27,2021-07-27 08:20:30,2.794s,PASSED
else,Chrome 92.0.4515.107,,,2021-07-27 08:20:30,2021-07-27 08:20:30,0.001s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/tN Card/legend_OccurrenceNote""), 1, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:30,2021-07-27 08:20:33,2.576s,PASSED
else,Chrome 92.0.4515.107,,,2021-07-27 08:20:33,2021-07-27 08:20:33,0.001s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/tN Card/legend_OrigQuote""), 1, OPTIONAL))",Chrome 92.0.4515.107,,,2021-07-27 08:20:33,2021-07-27 08:20:35,2.562s,PASSED
else,Chrome 92.0.4515.107,,,2021-07-27 08:20:35,2021-07-27 08:20:35,0.001s,PASSED
closeBrowser(),Chrome 92.0.4515.107,,,2021-07-27 08:20:35,2021-07-27 08:20:35,0.098s,PASSED
